id,subject,emoji
astro-ph,Astrophysics,🔭
astro-ph.CO,Cosmology and Nongalactic Astrophysics,🔭
astro-ph.EP,Earth and Planetary Astrophysics,🔭
astro-ph.GA,Astrophysics of Galaxies,🔭
astro-ph.HE,High Energy Astrophysical Phenomena,🔭
astro-ph.IM,Instrumentation and Methods for Astrophysics,🔭
astro-ph.SR,Solar and Stellar Astrophysics,🔭
cond-mat.dis-nn,Disordered Systems and Neural Networks,⚛
cond-mat.mes-hall,Mesoscale and Nanoscale Physics,⚛
cond-mat.mtrl-sci,Materials Science,⚛
cond-mat.other,Other Condensed Matter,⚛
cond-mat.quant-gas,Quantum Gases,⚛
cond-mat.soft,Soft Condensed Matter,⚛
cond-mat.stat-mech,Statistical Mechanics,⚛
cond-mat.str-el,Strongly Correlated Electrons,⚛
cond-mat.supr-con,Superconductivity,⚛
cs.AI,Artificial Intelligence,🤖
cs.AR,Hardware Architecture,🤖
cs.CC,Computational Complexity,🤖
cs.CE,"Computational Engineering, Finance, and Science",🤖
cs.CG,Computational Geometry,🤖
cs.CL,Computation and Language,🤖
cs.CR,Cryptography and Security,🤖
cs.CV,Computer Vision and Pattern Recognition,🤖
cs.CY,Computers and Society,🤖
cs.DB,Databases,🤖
cs.DC,"Distributed, Parallel, and Cluster Computing",🤖
cs.DL,Digital Libraries,🤖
cs.DM,Discrete Mathematics,🤖
cs.DS,Data Structures and Algorithms,🤖
cs.ET,Emerging Technologies,🤖
cs.FL,Formal Languages and Automata Theory,🤖
cs.GL,General Literature,🤖
cs.GR,Graphics,🤖
cs.GT,Computer Science and Game Theory,🤖
cs.HC,Human-Computer Interaction,🤖
cs.IR,Information Retrieval,🤖
cs.IT,Information Theory,🤖
cs.LG,Learning,🤖
cs.LO,Logic in Computer Science,🤖
cs.MA,Multiagent Systems,🤖
cs.MM,Multimedia,🤖
cs.MS,Mathematical Software,🤖
cs.NA,Numerical Analysis,🤖
cs.NE,Neural and Evolutionary Computing,🤖
cs.NI,Networking and Internet Architecture,🤖
cs.OH,Other Computer Science,🤖
cs.OS,Operating Systems,🤖
cs.PF,Performance,🤖
cs.PL,Programming Languages,🤖
cs.RO,Robotics,🤖
cs.SC,Symbolic Computation,🤖
cs.SD,Sound,🤖
cs.SE,Software Engineering,🤖
cs.SI,Social and Information Networks,🤖
cs.SY,Systems and Control,🤖
econ.EM,Econometrics,💵
eess.AS,Audio and Speech Processing,🛰
eess.IV,Image and Video Processing,🛰
eess.SP,Signal Processing,🛰
gr-qc,General Relativity and Quantum Cosmology,⚛
hep-ex,High Energy Physics - Experiment,⚛
hep-lat,High Energy Physics - Lattice,⚛
hep-ph,High Energy Physics - Phenomenology,⚛
hep-th,High Energy Physics - Theory,⚛
math.AC,Commutative Algebra,📐
math.AG,Algebraic Geometry,📐
math.AP,Analysis of PDEs,📐
math.AT,Algebraic Topology,📐
math.CA,Classical Analysis and ODEs,📐
math.CO,Combinatorics,📐
math.CT,Category Theory,📐
math.CV,Complex Variables,📐
math.DG,Differential Geometry,📐
math.DS,Dynamical Systems,📐
math.FA,Functional Analysis,📐
math.GM,General Mathematics,📐
math.GN,General Topology,📐
math.GR,Group Theory,📐
math.GT,Geometric Topology,📐
math.HO,History and Overview,📐
math.IT,Information Theory,📐
math.KT,K-Theory and Homology,📐
math.LO,Logic,📐
math.MG,Metric Geometry,📐
math.MP,Mathematical Physics,📐
math.NA,Numerical Analysis,📐
math.NT,Number Theory,📐
math.OA,Operator Algebras,📐
math.OC,Optimization and Control,📐
math.PR,Probability,📐
math.QA,Quantum Algebra,📐
math.RA,Rings and Algebras,📐
math.RT,Representation Theory,📐
math.SG,Symplectic Geometry,📐
math.SP,Spectral Theory,📐
math.ST,Statistics Theory,📐
math-ph,Mathematical Physics,📐
nlin.AO,Adaptation and Self-Organizing Systems,⚛
nlin.CD,Chaotic Dynamics,⚛
nlin.CG,Cellular Automata and Lattice Gases,⚛
nlin.PS,Pattern Formation and Solitons,⚛
nlin.SI,Exactly Solvable and Integrable Systems,⚛
nucl-ex,Nuclear Experiment,⚛
nucl-th,Nuclear Theory,⚛
physics.acc-ph,Accelerator Physics,⚛
physics.ao-ph,Atmospheric and Oceanic Physics,⚛
physics.app-ph,Applied Physics,⚛
physics.atm-clus,Atomic and Molecular Clusters,⚛
physics.atom-ph,Atomic Physics,⚛
physics.bio-ph,Biological Physics,⚛
physics.chem-ph,Chemical Physics,⚛
physics.class-ph,Classical Physics,⚛
physics.comp-ph,Computational Physics,⚛
physics.data-an,"Data Analysis, Statistics and Probability",⚛
physics.ed-ph,Physics Education,⚛
physics.flu-dyn,Fluid Dynamics,⚛
physics.gen-ph,General Physics,⚛
physics.geo-ph,Geophysics,⚛
